sanzen gohyaku gojuu kyuu, yonsen nanahyaku shichijuu go
yonsen gohyaku gojuu yon, ni sen happyaku hachi
sen sanbyaku shichijuu yon, sanzen sanbyaku gojuu shichi
hatachi hitotsu, yonsen sanbyaku hatachi hachi
sen gohyaku hachijuu shichi, rei
roppyaku hachijuu san, sanzen happyaku shichijuu kyuu
ni sen sanbyaku juushi, ni sen kyuuhyaku yonjuu san
sen sanbyaku kyuujuu, ni sen roppyaku yonjuu kyuu
yonsen nanahyaku kyuujuu kyuu, gohyaku yonjuu roku
sanzen yonhyaku shichijuu go, sen gohyaku juuhachi
sanzen rokujuu ni, sanzen sanbyaku sanjuu ni
ni sen kyuuhyaku hachijuu san, sanzen roppyaku hachi
yonsen hyaku juuroku, sen gojuu shichi
yonsen roppyaku hachijuu shichi, sanzen kyuuhyaku juushichi
sanbyaku hatachi hachi, sanzen sanbyaku rokujuu ni
ni sen hyaku hitotsu, sen roppyaku rokujuu shichi
ni sen nihyaku shichijuu, sen happyaku hatachi san
yonsen hatachi hitotsu, yonsen juuroku
sanzen nihyaku rokujuu roku, ni sen kyuuhyaku yonjuu hitotsu
sanzen happyaku sanjuu shichi, sen gojuu san
nanahyaku rokujuu san, kyuuhyaku kyuujuu kyuu
ni, roppyaku rokujuu go
ni sen sanbyaku hatachi hitotsu, sanzen hyaku san
sanzen happyaku gojuu roku, ni sen nanahyaku yonjuu roku
yonsen gohyaku shichijuu go, sanzen kyuuhyaku go
nanahyaku sanjuu san, sen roppyaku juushichi
sen nihyaku shichijuu go, nanahyaku yonjuu kyuu
sen roppyaku kyuujuu shichi, yonhyaku shichijuu shichi
sanzen kyuuhyaku juuroku, ni sen nanahyaku ni
sanzen hyaku yonjuu san, yonsen sanbyaku shichi
yonsen hyaku sanjuu roku, yonsen nanahyaku juuhachi
gohyaku roku, sanbyaku kyuujuu kyuu
sen nanahyaku yonjuu hitotsu, yonsen yonhyaku juuroku
happyaku kyuujuu go, sen hyaku yonjuu kyuu
happyaku hatachi roku, ni sen kyuuhyaku hatachi go
rokujuu roku, sen hyaku gojuu kyuu
sen sanbyaku kyuujuu hachi, sen nanahyaku rokujuu shichi
happyaku go, sanzen nanahyaku sanjuu hitotsu
sen sanbyaku hitotsu, yonsen sanbyaku juuni
roppyaku hachijuu go, sanzen hyaku shichijuu ni
yonsen happyaku juu, sanbyaku kyuujuu roku
yonsen gohyaku juusan, sen hyaku juuhachi
sanzen happyaku hatachi san, sen nihyaku hatachi
yonsen roppyaku yonjuu yon, sanzen hyaku yon
gohyaku kyuujuu roku, sen gohyaku sanjuu
sen nanahyaku hatachi san, ni sen kyuuhyaku yonjuu san
sen kyuuhyaku sanjuu hitotsu, ni sen yonhyaku shichijuu hachi
sen sanjuu yon, yonsen roppyaku shichi
yonsen sanbyaku shichijuu san, yonsen gohyaku hatachi shichi
sen happyaku gojuu yon, sanzen happyaku hatachi hachi
sanzen yonhyaku rokujuu kyuu, sanzen gohyaku hatachi roku
ni sen hyakuhachi juuni, sen nihyaku hachijuu ni
sanzen shichijuu hachi, yonsen hachijuu yon
kyuuhyaku hachijuu go, sanbyaku go
hyaku juukyuu, sanzen hyaku shichijuu roku
sen nihyaku shichijuu shichi, yonsen yonhyaku juugo
sen roppyaku hachijuu hachi, nihyaku sanjuu ni
ni sen hyaku hatachi hachi, sanzen kyuuhyaku sanjuu ni
yonsen nihyaku sanjuu yon, sanzen nanahyaku hachi
sen roppyaku kyuu, sanzen yonjuu go
ni sen yonjuu shichi, sen hatachi shichi
gohyaku gojuu kyuu, sen nihyaku yonjuu go
sanzen sanbyaku yonjuu, yonsen rokujuu yon
yonhyaku kyuujuu shichi, happyaku hatachi shichi
sen roppyaku shichijuu, ni sen happyaku juuroku
sen gohyaku rokujuu san, sanzen hyaku kyuujuu yon
yonsen kyuuhyaku yonjuu kyuu, yonsen nihyaku gojuu hachi
ni sen hatachi roku, happyaku hatachi go
ni sen happyaku juusan, ni sen roppyaku yonjuu hachi
sen yonhyaku sanjuu yon, sen roppyaku yonjuu kyuu
hyaku shichijuu ni, yonsen roppyaku sanjuu kyuu
sanzen gojuu hachi, ni sen gohyaku gojuu kyuu
yonsen nihyaku juushi, ni sen sanbyaku gojuu yon
yonsen yonhyaku juushichi, nanahyaku kyuujuu ni
sen kyuuhyaku kyuujuu shichi, gohyaku juu
sanzen kyuuhyaku kyuujuu shichi, rokujuu shichi
sen kyuuhyaku gojuu, sanzen nanahyaku sanjuu kyuu
nanahyaku shichijuu roku, yonsen kyuujuu hitotsu
ni sen gohyaku gojuu san, nihyaku sanjuu kyuu
sanzen gohyaku yonjuu, yonhyaku san
ni sen happyaku kyuujuu ni, sen happyaku gojuu go
sanzen sanbyaku gojuu yon, sen nanahyaku hachijuu san
sen gohyaku juugo, happyaku yonjuu shichi
yonsen sanbyaku rokujuu hitotsu, sen nanahyaku juuhachi
ni sen happyaku hachijuu kyuu, yonsen roppyaku rokujuu ni
ni sen nihyaku hatachi kyuu, sanzen hatachi hitotsu
ni sen roppyaku ni, yonsen yonhyaku shichijuu yon
sen kyuujuu, yonsen nanahyaku juuhachi
sen happyaku juuhachi, sanzen nanahyaku juugo
ni sen yonhyaku sanjuu hachi, sanzen nihyaku hatachi kyuu
yonsen nihyaku hatachi go, sen sanbyaku hatachi roku
sen sanbyaku kyuujuu ni, ni sen sanbyaku yonjuu yon
yonsen kyuuhyaku juushichi, sen nihyaku sanjuu
sen sanjuu shichi, sen hitotsu
ni sen nanahyaku kyuujuu ni, sanzen hyaku shichijuu hitotsu
yonsen nanahyaku sanjuu ni, sanzen gohyaku yonjuu go
sanzen rokujuu yon, sanzen kyuuhyaku shichijuu roku
ni sen sanbyaku sanjuu yon, roppyaku juushi
ni sen sanbyaku hachijuu roku, ni sen yonjuu hachi
sanzen yonhyaku juusan, sanzen kyuuhyaku juugo
sen sanbyaku shichijuu shichi, ni sen yonhyaku hachijuu ni
yonsen nanahyaku juushi, yonsen kyuujuu go
sen gohyaku hachijuu shichi, ni sen juuroku
ni sen juushichi, sen happyaku rokujuu
sen hyakuhachi juuni, yonsen sanbyaku gojuu shichi
sen yonhyaku sanjuu yon, sanzen roppyaku sanjuu roku
sanzen gohyaku yonjuu go, sen gohyaku juuhachi
sen roppyaku rokujuu kyuu, roppyaku hatachi hachi
ni sen yonhyaku shichijuu ni, ni sen hyaku juuroku
sanzen nanahyaku kyuujuu go, nihyaku yonjuu
sen hyaku hatachi, ni sen hyaku juuichi
roppyaku sanjuu yon, ni sen kyuuhyaku yonjuu ni
happyaku kyuujuu san, yonsen nihyaku
happyaku sanjuu kyuu, ni sen sanbyaku rokujuu
yon, sanzen nanahyaku kyuujuu kyuu
yonsen hyaku go, sen hatachi go
yonsen kyuuhyaku shichijuu hitotsu, yonsen nihyaku gojuu kyuu
sanzen yonhyaku sanjuu shichi, sanbyaku hatachi yon
sanzen nihyaku hatachi san, sen nihyaku gojuu kyuu
sanzen hyaku shichijuu kyuu, sanzen nanahyaku juuhachi
yonsen roppyaku gojuu kyuu, sanbyaku hatachi yon
sanzen nihyaku hatachi hachi, yonsen roppyaku juuni
yonsen yonhyaku kyuujuu go, ni sen happyaku yonjuu
sen happyaku hachijuu shichi, yonsen nihyaku juuroku
ni sen roppyaku kyuujuu, hyaku rokujuu kyuu
nanahyaku shichijuu go, sanzen kyuuhyaku gojuu ni
nanahyaku hachijuu shichi, sen roppyaku kyuu
nanahyaku gojuu san, sen yonhyaku hatachi hachi
sen hyakuhachi juugo, sen sanbyaku shichijuu yon
gohyaku rokujuu hitotsu, yonsen happyaku rokujuu hachi
sanzen happyaku gojuu yon, roppyaku gojuu san
nihyaku sanjuu go, nanahyaku juushichi
sen yonhyaku hatachi ni, happyaku hatachi go
nanahyaku sanjuu shichi, sen gohyaku shichijuu
sen kyuuhyaku sanjuu yon, sanzen hyaku hatachi kyuu
sen happyaku juusan, roppyaku yonjuu shichi
nanahyaku rokujuu shichi, sen nanahyaku gojuu go
nanahyaku kyuujuu kyuu, hyaku kyuu
ni sen happyaku rokujuu go, sanzen kyuuhyaku juusan
sanbyaku juuroku, yonsen yonhyaku hachijuu roku
yonsen sanbyaku yonjuu go, yonhyaku shichijuu
sen juugo, sen nanahyaku hatachi hachi
yonsen gohyaku yonjuu yon, ni sen kyuuhyaku juuichi
yonhyaku sanjuu, sanbyaku gojuu hachi
yonsen kyuujuu ni, hyaku shichijuu ni
sanzen sanbyaku shichijuu hitotsu, sen happyaku sanjuu shichi
ni sen shichijuu roku, sanzen roppyaku shichijuu go
ni sen sanbyaku yon, sanzen hyaku gojuu hitotsu
sen roppyaku rokujuu roku, sen gojuu
yonsen nanahyaku shichijuu kyuu, ni sen yonhyaku sanjuu roku
ni sen roppyaku juukyuu, sanbyaku shichijuu ni
ni sen nihyaku rokujuu yon, sanzen sanbyaku gojuu hachi
yonhyaku kyuujuu san, yonsen nihyaku hatachi go
sanzen ni, sen gohyaku sanjuu ni
yonhyaku yon, yonsen yonhyaku hatachi shichi
yonsen nanahyaku hatachi hachi, ni sen nanahyaku juusan
yonsen happyaku sanjuu shichi, sen roppyaku ni
ni sen gohyaku yonjuu roku, sen sanbyaku hachijuu hitotsu
sanzen kyuuhyaku yonjuu, ni sen nanahyaku kyuujuu hitotsu
sen hyaku shichijuu ni, sanzen gohyaku kyuujuu go
yonsen hyaku yonjuu san, hyaku juukyuu
sen kyuuhyaku kyuujuu yon, roppyaku yon
sen nihyaku hatachi hitotsu, yonsen roppyaku hatachi ni
ni sen roppyaku rokujuu hachi, sanzen gohyaku rokujuu hachi
hyaku sanjuu, yonsen yonhyaku kyuujuu ni
